Drink	Fl oz	Calories	Caffeine	Mg / floz
PerformElite Pre-Workout	8	0	225	28.1
Perk Energy Beverage	8	90	100	12.5
Perrier Energize	8.46	35	99	11.7
Perrier Sparkling Water	11.15	0	0	0
PG Tips Black Tea	6.78	0	50	7.4
Phocus Sparkling Water	11.5	0	75	6.5
Phoenix Energy Shot	2	0	280	140
Pibb Xtra	12	140	40	3.3
Poland Spring Sparkling Energy Water	11.5	35	75	6.5
Polar Frost Plus Energy	17	10	67	3.9
Polar Seltzer Water	12	0	0	0
Power Horse Energy Drink (EU)	8.45	125	80	9.5
Premier Protein Cafe Latte	11.5	160	120	10.4
Premium Cola (EU)	11.16	132	83	7.4
Prime Energy Drink	12	10	200	16.7
Private Selection Canned Espresso	15	230	145	9.7
Propel Zero Powder	16	0	0	0
Proper Wild Energy Shot	2.5	25	180	72
Protein2O + Energy	16.91	70	125	7.4
Pure Boost Energy Drink Mix	16	25	100	6.2
Pure Cofain 699 (EU)	8.46	148	175	20.7
Pure Kick Energy Drink Mix	16.9	10	80	4.7
Pure Leaf Iced Tea	18.5	160	69	3.7
Purity Coffee	8	0	163	20.4
Quake Energy Berry Blast Slurpee	16	5	92	5.8
Quake Energy Drink	16	0	250	15.6
Rambler Energy Drink	16	60	120	7.5
Raze Energy Drink	16	0	300	18.8
RC (Royal Crown) Cola	12	160	43	3.6
Red Bull	8.46	117	80	9.5
Red Bull Editions	8.46	113	80	9.5
Red Bull Simply Cola	8.46	0	32	3.8
Red Bull Sugarfree	8.46	10	80	9.5
Red Bull Zero	8.46	0	80	9.5
Red Devil Energy Drink	16	0	160	10
Red Eye Energy Drink	11.1	149	106	9.5
Red Power Elixir	12	160	160	13.3
Red Thunder Energy Drink	12	156	120	10
Red Thunder Energy Shot	2	0	138	69
Red Thunder Extra Strength	2	0	230	115
Redline Max 300	2.5	0	300	120
Redline Princess	8	0	300	37.5
Redline Xtreme Energy Drink	8	0	316	39.5
Redline Xtreme Shot	3	5	300	100
Reed's Ginger Energize Shot	2	24	100	50
Reign Storm	12	10	200	16.7
Reign Total Body Fuel	16	10	300	18.8
Revv Coffee Pods	8	0	127	15.9
Rip It Energy Drink	16	260	160	10
Rip It Energy Shot	2	0	120	60
Ritz Cola	12	144	10	0.9
Roaring Lion Energy Drink	8	100	77	9.6
Robusta Coffee	8	0	265	33.1
Rockstar Boom	16	280	160	10
Rockstar Energy Drink (Original)	16	250	160	10
Rockstar Halo Infinite	16	250	240	15
Rockstar Juiced	16	30	170	10.6
Rockstar Organic Energy Drink	15	180	160	10.7
Rockstar Punched	16	260	240	15
Rockstar Pure Zero	16	20	240	15
Rockstar Recovery	16	25	160	10
Rockstar Sugar Free	16	25	160	10
Rockstar Thermo	16	0	300	18.8
Rockstar Unplugged	8	0	80	10
Rockstar XDurance	16	10	300	18.8
Rockstar Zero Carb	16	25	240	15
Rogue Energy Drink	16	5	200	12.5
Rogue Energy Drink Mix	16	5	175	10.9
RootJack Caffeinated Pirate Root Beer	12	200	120	10
Rowdy Energy Drink	16	5	160	10
Ruby Red Squirt	12	170	39	3.2
Runa	12	0	150	12.5
Rush! Energy Drink	8.3	120	80	9.6
Ryse Fuel	16	0	200	12.5
Sambazon Amazon Energy Drink	12	120	120	10
Sarsaparilla	12	170	0	0
Scheckters Energy Drink	8.46	78	80	9.5
Screamin Energy Max Hit	0.61	40	185	303.3
Seattle's Best Brewed Coffee	12	10	260	21.7
Sencha Green Tea Shot	6.4	0	40	6.2
Shasta Cola	12	170	43	3.6
Shasta Diet Cola	12	0	47	3.9
Shasta Mountain Rush	12	150	54	4.5
Ski Soda	12	180	69	5.8
Slammers Energy Drink (EU)	8.46	122	80	9.5
SlimFast Shake - Cappuccino	11	180	100	9.1
Slurpee	12	90	30	2.5
Snapple Tea	16	150	37	2.3
Sneak Energy Drink Mix	16	12	150	9.4
SoBe Energy Citrus	20	250	81	4
SoBe Green Tea	20	200	7	0.3
Soda Stream	8	40	31	3.9
Solimo Energy Drink	16	10	152	9.5
Source 1899 (UK)	8.46	58	80	9.5
Southern Sweet Tea	16	128	41	2.6
Soylent Stacked	11.16	180	100	9
Spark Energy Drink Mix	8	15	120	15
Sparkling Ice +Caffeine	16	5	70	4.4
Speed Energy Fuel	16	240	186	11.6
Spider Energy Drink	16	120	240	15
Spike Energy Double Shot	4.26	0	350	82.2
Spike Hardcore Energy	16	0	350	21.9
Spike Shooter	12	10	300	25
Sprecher Cherry Cola	16	240	0	0
Sprite	12	140	0	0
Squirt Soda	12	140	0	0
Stacker Extreme Energy Shot	2	0	205	102.5
Starbucks 2X Coffee Pods	8	0	260	32.5
Starbucks Bottled Cold Brew	11	50	180	16.4
Starbucks Bottled Iced Coffee	48	240	640	13.3
Starbucks Canned Nitro Cold Brew	11	0	235	21.4
Starbucks Caramel Macchiato	16	250	150	9.4
Starbucks Cold & Crafted	11	50	135	12.3
Starbucks Cold Brew Coffee	16	5	205	12.8
Starbucks Cordusio Mocha	8	130	155	19.4
Starbucks Decaf Coffee	16	0	25	1.6
Starbucks Doubleshot Energy	15	220	135	9
Starbucks Doubleshot Espresso	6.5	140	120	18.5
Starbucks Frappuccino (Bottled)	13.7	300	110	8
Starbucks Grande Caffe Americano	16	15	225	14.1
Starbucks Grande Caffe Latte	16	190	150	9.4
Starbucks Grande Caffe Mocha	16	370	175	10.9
Starbucks Grande Cappuccino	16	140	150	9.4
Starbucks Grande Coffee	16	5	310	19.4
Starbucks Iced Americano	16	15	225	14.1
Starbucks Iced Espresso Classics	12	190	125	10.4
Starbucks Nitro Cold Brew Coffee	16	5	280	17.5
Starbucks Pink Drink	16	140	45	2.8
Starbucks Pumpkin Cream Cold Brew	16	250	185	11.6
Starbucks Refreshers	16	70	45	2.8
Starbucks Refreshers Canned	12	90	50	4.2
Starbucks Triple Shot Energy	15	210	225	15
Starbucks Verismo Coffee Pods	8	0	60	7.5
Starbucks Via Ready Brew	8	0	135	16.9
Steaz Energy	12	140	100	8.3
Steep 18 Cold Brew	8	0	90	11.2
Stipe Miocic Extra Strength Coffee	12	0	500	41.7
Stok Coffee Shots	0.43	10	40	93
Stok Cold Brew	13.7	0	145	10.6
Strike Force Energy Drink Mix	16.91	0	160	9.5
Stumptown Cold Brew Coffee	10.5	3	279	26.6
Stumptown Nitro Cold Brew	11	3	330	30
Sudden Instant Coffee	12	0	95	7.9
Sun Drop Soda	12	170	64	5.3
Sunkist Orange Soda	12	160	19	1.6
Sunup Pure Green Coffee	11	5	200	18.2
T-Virus Antidote	12	160	100	8.3
Taft Coffee (EU)	12	0	1182	98.5
Taiwanese Milk Tea	16	299	151	9.4
Taster's Choice Instant Coffee	8	0	98	12.2
Taurus Energy Drink	8.46	180	50	5.9
Tazo Chai	8	0	47	5.9
Tea (Black)	8	0	42	5.2
Tea (Decaf)	8	0	4	0.5
Tea (Green)	8	0	18	2.2
Tea (Herbal)	8	0	0	0
Tea (Iced)	8	0	47	5.9
Tea (Instant)	8	0	40	5
Tea (Jasmine)	8	0	25	3.1
Tea (Oolong)	8	0	37	4.6
Tea (White)	8	0	28	3.5
